query_id,corpus_id
qd496f102,dd496f152
qd496f102,dd4b985b4
qd496f102,dd4ba111e
qd496f102,dd4b9a788
qd496f102,dd4bc9542
qd496f102,dd4c2f676
qd496f102,dd4c5937c
qd496f102,dd4972226
qd496f102,dd4c5e502
qd496f102,dd4c1a4c4
qd49859fc,dd4c109d8
qd49859fc,dd4c5ddfa
qd49859fc,dd4c4af66
qd49859fc,dd4bb6870
qd49859fc,dd4c4f6b0
qd49859fc,dd4c3b2b4
qd49859fc,dd4bee7ac
qd49859fc,dd4b8ef96
qd49859fc,dd4979b84
qd49859fc,dd4b9d19a
qd498d6fc,dd498af42
qd498d6fc,dd4c346bc
qd498d6fc,dd497d298
qd498d6fc,dd496fd78
qd498d6fc,dd4b9e234
qd498d6fc,dd4c37dd0
qd498d6fc,dd4c58382
qd498d6fc,dd497587c
qd498d6fc,dd4bf81e4
qd498d6fc,dd4c4ff98
qd496d118,dd4c3af26
qd496d118,dd4c377ea
qd496d118,dd4bd002c
qd496d118,dd4bd0162
qd496d118,dd4bd5eb4
qd496d118,dd496d15e
qd496d118,dd4baa548
qd496d118,dd4bb8fa8
qd496d118,dd4be481a
qd496d118,dd4c0b726
qd498f394,dd497ff02
qd498f394,dd4bd25ac
qd498f394,dd4b9c66e
qd498f394,dd4bff354
qd498f394,dd497875c
qd498f394,dd4c4e0f8
qd498f394,dd4c00dee
qd498f394,dd4ba7f28
qd498f394,dd497da9a
qd498f394,dd4c16450
qd4980326,dd4ba2a5a
qd4980326,dd4c528e2
qd4980326,dd4ba02f0
qd4980326,dd4b97e7a
qd4980326,dd4b902a6
qd4980326,dd4b8b15c
qd4980326,dd4c35bd4
qd4980326,dd4c5081c
qd4980326,dd4c07df6
qd4980326,dd4bb2d7e
qd498cc2a,dd497ad9a
qd498cc2a,dd4b94ed2
qd498cc2a,dd4c66176
qd498cc2a,dd4b8c340
qd498cc2a,dd4ba534a
qd498cc2a,dd4bbe1b0
qd498cc2a,dd4bd73ea
qd498cc2a,dd4c0781a
qd498cc2a,dd4ba9d28
qd498cc2a,dd497cdca
qd498ed9a,dd4979e04
qd498ed9a,dd4c11dd8
qd498ed9a,dd4be9e5a
qd498ed9a,dd4b97600
qd498ed9a,dd4c5739c
qd498ed9a,dd4beaaee
qd498ed9a,dd4c22ebc
qd498ed9a,dd4c59cf0
qd498ed9a,dd4c60fc8
qd498ed9a,dd4bf81e4
qd498e660,dd4c178a0
qd498e660,dd4c3ecde
qd498e660,dd4c53d0a
qd498e660,dd4c648e4
qd498e660,dd4b94ff4
qd498e660,dd4c2a0d6
qd498e660,dd4b9306e
qd498e660,dd4bdbf80
qd498e660,dd4ba4e36
qd498e660,dd4c29884
qd4978d1a,dd4b979de
qd4978d1a,dd4ba07d2
qd4978d1a,dd496c81c
qd4978d1a,dd4bce6be
qd4978d1a,dd4b95e86
qd4978d1a,dd4bfc870
qd4978d1a,dd4b95954
qd4978d1a,dd4c59034
qd4978d1a,dd4c50c54
qd4978d1a,dd4bb25d6
qd4980a06,dd4980a42
qd4980a06,dd4b87d18
qd4980a06,dd4be45d6
qd4980a06,dd4c47d52
qd4980a06,dd4bb99da
qd4980a06,dd4b9f7f6
qd4980a06,dd4c51212
qd4980a06,dd4bc47a4
qd4980a06,dd4c121fc
qd4980a06,dd4c35fb2
qd49781b2,dd49781f8
qd49781b2,dd4bb216c
qd49781b2,dd4be27ae
qd49781b2,dd498a524
qd49781b2,dd4bb8fa8
qd49781b2,dd4bc54e2
qd49781b2,dd4c4a3cc
qd49781b2,dd4bb76ee
qd49781b2,dd4b9d514
qd49781b2,dd4be0846
qd497214a,dd4972226
qd497214a,dd4c5efa2
qd497214a,dd4b980aa
qd497214a,dd4970098
qd497214a,dd4c39c3e
qd497214a,dd4bdb56c
qd497214a,dd4bccc06
qd497214a,dd4c0b726
qd497214a,dd4c1e5c4
qd497214a,dd4976010
qd498c2de,dd498c338
qd498c2de,dd4bdbf80
qd498c2de,dd4b8f324
qd498c2de,dd4c49468
qd498c2de,dd4ba302c
qd498c2de,dd4c53620
qd498c2de,dd4bfeaee
qd498c2de,dd497314e
qd498c2de,dd4bc12fc
qd498c2de,dd4bbc7ca
qd49885da,dd4974620
qd49885da,dd4ba327a
qd49885da,dd4c2ed52
qd49885da,dd4bed5aa
qd49885da,dd4bda02c
qd49885da,dd4be8910
qd49885da,dd4b88394
qd49885da,dd4bc9bbe
qd49885da,dd4be678c
qd49885da,dd4b90814
qd4982112,dd4b973b2
qd4982112,dd4982158
qd4982112,dd4bb5506
qd4982112,dd4c2bb20
qd4982112,dd49869a6
qd4982112,dd4bb3b48
qd4982112,dd4b9dc1c
qd4982112,dd4c0a39e
qd4982112,dd4bb0de4
qd4982112,dd4baaef8
qd498d21a,dd4bc7b52
qd498d21a,dd4c55e7a
qd498d21a,dd4bf84f0
qd498d21a,dd4c4fb38
qd498d21a,dd4c08e0e
qd498d21a,dd4c4ee72
qd498d21a,dd4bf83c4
qd498d21a,dd4c42172
qd498d21a,dd4bdbdd2
qd498d21a,dd4bfe2a6
qd498ce96,dd4b8f842
qd498ce96,dd4b91048
qd498ce96,dd4c0e6ec
qd498ce96,dd4ba057a
qd498ce96,dd4b87796
qd498ce96,dd4bfd216
qd498ce96,dd4ba0ca0
qd498ce96,dd4ba0660
qd498ce96,dd4b87214
qd498ce96,dd4c4e1f2
qd4978306,dd497774e
qd4978306,dd496daaa
qd4978306,dd4be687c
qd4978306,dd4972b86
qd4978306,dd4baed28
qd4978306,dd496ddd4
qd4978306,dd4bb2b58
