query_id,corpus_id
q00001,MSFT20230016
q00001,MSFT20230216
q00001,MSFT20230128
q00001,MSFT20231716
q00001,MSFT20230026
q00001,MSFT20230236
q00001,MSFT20231728
q00001,MSFT20230170
q00001,MSFT20230469
q00001,MSFT20230058
q00002,MSFT20230566
q00002,MSFT20231743
q00002,MSFT20231766
q00002,MSFT20230121
q00002,MSFT20230122
q00002,MSFT20231708
q00002,MSFT20230502
q00002,MSFT20231710
q00002,MSFT20231730
q00002,MSFT20231768
q00003,MSFT20230264
q00003,MSFT20230058
q00003,MSFT20230010
q00003,MSFT20231752
q00003,MSFT20231766
q00003,MSFT20230144
q00003,MSFT20230159
q00003,MSFT20230140
q00003,MSFT20230162
q00003,MSFT20230509
q00004,MSFT20230120
q00004,MSFT20231728
q00004,MSFT20230170
q00004,MSFT20230521
q00004,MSFT20230470
q00004,MSFT20230963
q00004,MSFT20230530
q00004,MSFT20230319
q00004,MSFT20230469
q00004,MSFT20230058
q00005,MSFT20230723
q00005,MSFT20231297
q00005,MSFT20230713
q00005,MSFT20230223
q00005,MSFT20230225
q00005,MSFT20230469
q00005,MSFT20230470
q00005,MSFT20230226
q00005,MSFT20231370
q00005,MSFT20231730
q00006,MSFT20231300
q00006,MSFT20231335
q00006,MSFT20230722
q00006,MSFT20230955
q00006,MSFT20230469
q00006,MSFT20230048
q00006,MSFT20230010
q00006,MSFT20230723
q00006,MSFT20230058
q00006,MSFT20230011
q00007,MSFT20230544
q00007,MSFT20231729
q00007,MSFT20231766
q00007,MSFT20230470
q00007,MSFT20231767
q00007,MSFT20230966
q00007,MSFT20230521
q00007,MSFT20230963
q00007,MSFT20230482
q00007,MSFT20230530
q00008,MSFT20231529
q00008,MSFT20230508
q00008,MSFT20230968
q00008,MSFT20230733
q00008,MSFT20230963
q00008,MSFT20230966
q00008,MSFT20231797
q00008,MSFT20231014
q00008,MSFT20231792
q00008,MSFT20230606
q00009,ADBE20231907
q00009,ADBE20231681
q00009,ADBE20231518
q00009,ADBE20231062
q00009,ADBE20230004
q00009,ADBE20231131
q00009,ADBE20230961
q00009,ADBE20230209
q00009,ADBE20230975
q00009,ADBE20230052
q00010,ADBE20230729
q00010,ADBE20230453
q00010,ADBE20230727
q00010,ADBE20230726
q00010,ADBE20230725
q00010,ADBE20230454
q00010,ADBE20231494
q00010,ADBE20231565
q00010,ADBE20230728
q00010,ADBE20230236
